date;Euro;Amerikanske dollar;Britiske pund ;Svenske kroner
2001M01D02;7.461.800;7.900.300;11.773.100;840.000
2001M01D03;7.460.500;7.818.600;11.752.500;834.600
2001M01D04;7.461.500;7.849.300;11.787.500;836.500
2001M01D05;7.464.000;7.822.300;11.746.900;837.500
2001M01D08;7.464.200;7.848.800;11.789.900;836.600
2001M01D09;7.464.400;7.934.900;11.808.900;837.700
2001M01D10;7.465.800;7.940.700;11.843.000;836.500
2001M01D11;7.466.400;7.900.100;11.786.000;842.000
2001M01D12;7.467.100;7.851.000;11.720.500;843.200
2001M01D15;7.465.700;7.904.400;11.692.600;842.000
2001M01D16;7.466.100;7.945.200;11.680.400;839.300
2001M01D17;7.466.200;7.959.700;11.719.000;837.200
2001M01D18;7.468.400;7.925.700;11.678.500;837.900
2001M01D19;7.466.900;7.924.100;11.690.800;838.100
2001M01D22;7.466.600;8.026.000;11.728.900;839.100
2001M01D23;7.466.700;7.929.800;11.674.000;832.800
2001M01D24;7.465.400;8.018.700;11.739.900;838.600
2001M01D25;7.462.600;8.128.300;11.822.900;836.000
2001M01D26;7.461.400;8.014.400;11.770.600;838.400
2001M01D29;7.462.100;8.102.200;11.827.700;841.600
2001M01D30;7.461.100;8.150.600;11.869.400;845.400
2001M01D31;7.461.300;8.018.600;11.722.400;843.600
2001M02D01;7.462.200;7.929.200;11.672.500;838.400
2001M02D02;7.463.100;7.934.400;11.721.500;837.400
2001M02D05;7.464.400;7.945.900;11.708.900;835.400
2001M02D06;7.464.200;7.989.900;11.717.700;837.100
2001M02D07;7.462.800;8.018.500;11.704.500;838.200
2001M02D08;7.461.800;8.050.300;11.691.900;840.800
2001M02D09;7.460.600;8.097.000;11.693.700;837.600
2001M02D12;7.461.500;8.034.300;11.667.700;833.400
2001M02D13;7.461.400;8.033.400;11.680.300;829.300
2001M02D14;7.462.400;8.108.700;11.815.100;826.400
2001M02D15;7.462.300;8.178.800;11.892.100;828.600
2001M02D16;7.464.400;8.188.200;11.901.100;833.700
2001M02D19;7.463.400;8.099.200;11.766.400;830.200
2001M02D20;7.463.200;8.194.100;11.797.700;830.000
2001M02D21;7.464.100;8.141.500;11.760.000;827.900
2001M02D22;7.464.300;8.246.900;11.883.900;828.400
2001M02D23;7.463.700;8.256.300;11.920.900;826.300
2001M02D26;7.464.900;8.197.800;11.886.800;825.500
2001M02D27;7.463.600;8.154.300;11.779.700;826.000
2001M02D28;7.464.100;8.099.900;11.704.700;824.300
2001M03D01;7.462.800;8.055.700;11.667.900;823.000
2001M03D02;7.465.700;7.975.300;11.688.900;825.900
2001M03D05;7.466.300;8.020.500;11.774.600;823.500
2001M03D06;7.463.200;8.053.500;11.810.700;825.500
2001M03D07;7.462.600;7.991.600;11.706.000;824.000
2001M03D08;7.462.900;8.004.000;11.750.700;825.600
2001M03D09;7.464.600;7.986.100;11.738.600;822.800
2001M03D12;7.464.900;8.022.500;11.757.600;819.100
2001M03D13;7.465.200;8.090.600;11.784.100;812.900
2001M03D14;7.466.000;8.171.200;11.858.300;815.700
2001M03D15;7.466.300;8.208.300;11.868.200;816.100
2001M03D16;7.463.700;8.347.700;11.972.600;817.400
2001M03D19;7.464.700;8.303.300;11.890.300;816.300
2001M03D20;7.465.200;8.260.700;11.808.300;814.900
2001M03D21;7.464.000;8.311.800;11.866.500;814.600
2001M03D22;7.464.300;8.394.400;11.929.500;807.100
2001M03D23;7.465.800;8.361.300;11.937.600;809.400
2001M03D26;7.464.800;8.368.600;11.993.600;816.900
2001M03D27;7.464.200;8.332.400;11.942.700;817.000
2001M03D28;7.463.400;8.408.500;12.016.400;817.200
2001M03D29;7.463.100;8.409.100;12.105.600;809.100
2001M03D30;7.462.900;8.471.900;12.072.000;815.800
2001M04D02;7.461.400;8.507.900;12.065.700;817.600
2001M04D03;7.462.300;8.433.900;12.012.700;810.800
2001M04D04;7.464.700;8.328.300;11.947.300;809.300
2001M04D05;7.464.800;8.297.900;11.890.400;813.100
2001M04D06;7.463.800;8.290.300;11.858.600;817.500
2001M04D09;7.463.400;8.266.000;11.941.400;821.000
2001M04D10;7.463.000;8.321.800;12.015.800;818.300
2001M04D11;7.462.800;8.385.200;12.050.400;828.800
2001M04D12;..;..;..;..
2001M04D16;..;..;..;..
2001M04D17;7.462.100;8.469.100;12.171.100;825.100
2001M04D18;7.461.600;8.471.400;12.089.400;826.300
2001M04D19;7.462.200;8.451.900;12.080.600;826.600
2001M04D20;7.463.500;8.290.000;11.989.600;821.000
2001M04D23;7.463.800;8.276.600;11.930.600;820.100
2001M04D24;7.462.600;8.317.700;11.967.000;816.400
2001M04D25;7.463.800;8.361.900;11.992.000;814.900
2001M04D26;7.463.800;8.326.400;11.982.300;815.700
2001M04D27;7.464.200;8.279.800;11.933.200;817.600
2001M04D30;7.464.500;8.389.900;12.041.500;819.900
2001M05D01;7.464.700;8.418.500;12.016.600;820.100
2001M05D02;7.464.600;8.382.500;11.995.200;818.400
2001M05D03;7.464.700;8.356.300;11.985.700;818.700
2001M05D04;7.465.300;8.364.500;11.990.500;815.700
2001M05D07;7.464.800;8.369.500;12.026.400;820.200
2001M05D08;7.464.500;8.415.400;12.057.000;818.400
2001M05D09;7.464.200;8.451.300;12.048.700;818.600
2001M05D10;7.464.100;8.414.000;11.965.500;822.700
2001M05D11;..;..;..;..
2001M05D14;7.461.700;8.533.500;12.083.700;832.000
2001M05D15;7.461.300;8.522.300;12.089.000;827.300
2001M05D16;7.462.100;8.450.800;12.053.100;825.500
2001M05D17;7.462.200;8.446.200;12.082.600;825.100
2001M05D18;7.462.100;8.492.200;12.137.400;827.400
2001M05D21;7.461.100;8.514.300;12.233.300;831.200
2001M05D22;7.460.300;8.569.100;12.296.500;832.100
2001M05D23;7.459.600;8.698.200;12.356.500;826.000
2001M05D24;..;..;..;..
2001M05D25;7.459.000;8.726.000;12.347.300;825.400
2001M05D28;7.458.600;8.677.800;12.320.100;822.700
2001M05D29;7.457.500;8.715.100;12.350.900;822.800
2001M05D30;7.456.600;8.724.200;12.392.600;823.100
2001M05D31;7.455.200;8.787.400;12.460.600;816.700
2001M06D01;7.456.200;8.813.500;12.512.500;813.400
2001M06D04;..;..;..;..
2001M06D05;0.0000;0.0000;0.0000;0.0000
2001M06D06;7.457.100;8.736.100;12.236.800;806.300
2001M06D07;7.456.300;8.786.600;12.215.400;801.100
2001M06D08;7.455.900;8.768.600;12.088.000;800.200
2001M06D11;7.454.300;8.778.000;12.168.300;802.400
2001M06D12;7.454.800;8.804.500;12.125.600;803.100
2001M06D13;7.455.100;8.728.600;12.003.100;804.700
2001M06D14;7.455.100;8.741.900;12.163.600;806.500
2001M06D15;7.456.000;8.643.600;12.125.500;813.100
2001M06D18;7.455.500;8.662.100;12.186.200;817.200
2001M06D19;7.455.800;8.695.800;12.166.800;825.000
2001M06D20;7.454.900;8.732.500;12.205.100;816.800
2001M06D21;7.455.600;8.692.500;12.208.300;815.000
2001M06D22;7.452.900;8.742.400;12.363.800;814.100
2001M06D25;7.453.700;8.653.000;12.261.400;815.100
2001M06D26;7.452.400;8.639.500;12.205.000;812.300
2001M06D27;7.447.800;8.621.100;12.229.600;807.100
2001M06D28;7.447.200;8.685.800;12.274.900;809.900
2001M06D29;7.444.200;8.789.900;12.347.300;809.100
2001M07D02;7.445.000;8.805.400;12.433.200;806.600
2001M07D03;7.445.600;8.795.700;12.421.800;805.800
2001M07D04;7.445.300;8.807.900;12.377.900;810.100
2001M07D05;7.442.400;8.852.600;12.435.100;808.300
2001M07D06;7.442.400;8.861.100;12.404.000;805.600
2001M07D09;7.443.600;8.800.700;12.387.400;799.800
2001M07D10;7.443.900;8.702.200;12.293.800;800.800
2001M07D11;7.443.900;8.650.700;12.251.300;798.800
2001M07D12;7.442.900;8.715.300;12.255.700;801.800
2001M07D13;7.442.200;8.719.600;12.220.400;805.300
2001M07D16;7.444.300;8.690.500;12.175.800;808.900
2001M07D17;7.444.700;8.749.200;12.198.400;809.800
2001M07D18;7.445.200;8.681.400;12.175.300;808.600
2001M07D19;7.446.900;8.489.400;12.061.700;806.400
2001M07D20;7.448.100;8.517.000;12.168.100;804.700
2001M07D23;7.447.500;8.575.100;12.197.000;800.900
2001M07D24;7.445.800;8.554.500;12.128.700;800.400
2001M07D25;7.444.000;8.500.600;12.098.200;797.200
2001M07D26;7.445.600;8.468.600;12.110.600;799.500
2001M07D27;7.445.300;8.495.300;12.100.300;801.600
2001M07D30;7.445.200;8.515.600;12.100.100;804.400
2001M07D31;7.447.800;8.506.900;12.130.000;804.900
2001M08D01;7.449.500;8.462.500;12.113.000;800.900
2001M08D02;7.448.100;8.442.600;12.104.800;807.200
2001M08D03;7.448.100;8.452.200;12.093.000;811.100
2001M08D06;7.447.300;8.456.100;12.058.500;812.000
2001M08D07;7.445.100;8.497.000;12.023.700;810.400
2001M08D08;7.442.500;8.506.700;12.046.800;813.800
2001M08D09;7.441.800;8.410.700;11.950.900;811.800
2001M08D10;7.442.100;8.320.800;11.871.300;811.100
2001M08D13;7.442.400;8.291.400;11.779.700;809.300
2001M08D14;7.443.300;8.319.300;11.805.400;807.600
2001M08D15;7.442.800;8.199.600;11.737.600;805.300
2001M08D16;7.443.700;8.105.100;11.763.100;802.400
2001M08D17;7.444.400;8.145.700;11.756.800;802.000
2001M08D20;7.446.100;8.135.100;11.753.900;790.200
2001M08D21;7.446.600;8.151.700;11.793.800;791.300
2001M08D22;7.449.300;8.063.800;11.757.100;784.500
2001M08D23;7.447.600;8.177.000;11.808.500;790.400
2001M08D24;7.445.700;8.149.800;11.773.700;790.500
2001M08D27;7.444.100;8.166.000;11.782.400;795.000
2001M08D28;7.444.400;8.228.600;11.833.400;794.700
2001M08D29;7.444.100;8.159.700;11.859.300;790.400
2001M08D30;7.443.200;8.190.100;11.886.300;786.500
2001M08D31;7.446.800;8.126.100;11.861.700;781.900
2001M09D03;7.444.400;8.193.300;11.909.100;784.600
2001M09D04;7.443.900;8.292.200;11.981.200;780.700
2001M09D05;7.443.000;8.386.500;12.094.600;780.300
2001M09D06;7.442.500;8.381.200;12.162.900;787.200
2001M09D07;7.442.500;8.325.900;12.105.600;783.200
2001M09D10;7.441.800;8.236.600;12.084.800;781.500
2001M09D11;7.441.400;8.296.800;12.078.200;782.300
2001M09D12;7.443.300;8.215.600;12.030.500;776.100
2001M09D13;7.443.300;8.206.500;12.034.400;775.200
2001M09D14;7.444.100;8.138.300;11.993.100;776.600
2001M09D17;7.443.400;7.999.400;11.798.100;767.900
2001M09D18;7.442.400;8.073.800;11.839.600;764.700
2001M09D19;7.442.300;8.038.800;11.770.200;765.700
2001M09D20;7.442.600;8.033.000;11.789.300;762.500
2001M09D21;7.440.800;8.080.800;11.790.200;748.000
2001M09D24;7.439.200;8.144.500;11.872.300;750.700
2001M09D25;7.437.800;8.103.100;11.839.900;756.800
2001M09D26;7.436.100;8.077.400;11.907.300;748.500
2001M09D27;7.435.600;8.068.100;11.895.100;751.000
2001M09D28;7.437.100;8.118.200;11.931.800;762.200
2001M10D01;7.436.400;8.167.400;12.031.100;766.800
2001M10D02;7.435.300;8.126.000;12.009.900;760.100
2001M10D03;7.435.100;8.074.600;11.858.200;761.700
2001M10D04;7.434.800;8.119.300;11.951.100;766.900
2001M10D05;7.435.100;8.108.100;11.967.000;762.900
2001M10D08;7.434.100;8.063.000;11.888.900;763.300
2001M10D09;7.434.300;8.067.600;11.856.900;768.700
2001M10D10;7.435.400;8.144.800;11.862.500;771.100
2001M10D11;7.436.800;8.172.300;11.857.100;775.600
2001M10D12;7.436.800;8.231.100;11.902.700;779.600
2001M10D15;7.437.300;8.170.200;11.844.700;780.000
2001M10D16;7.437.500;8.215.500;11.869.600;783.400
2001M10D17;7.436.700;8.231.000;11.900.600;788.000
2001M10D18;7.436.800;8.238.400;11.904.600;782.900
2001M10D19;7.436.400;8.262.700;11.905.900;786.100
2001M10D22;7.436.200;8.283.600;11.865.600;783.700
2001M10D23;7.436.300;8.372.300;11.898.100;781.200
2001M10D24;7.436.200;8.337.500;11.915.100;783.300
2001M10D25;7.436.200;8.348.700;11.897.900;786.900
2001M10D26;7.436.500;8.326.600;11.930.900;788.100
2001M10D29;7.437.600;8.280.600;11.988.400;785.500
2001M10D30;7.440.800;8.212.800;11.951.200;776.100
2001M10D31;7.445.300;8.226.900;11.973.800;777.000
2001M11D01;7.447.400;8.205.600;11.971.400;777.100
2001M11D02;7.445.900;8.229.300;12.060.100;781.400
2001M11D05;7.448.100;8.300.600;12.071.500;783.100
2001M11D06;7.448.100;8.289.500;12.085.200;785.700
2001M11D07;7.449.700;8.245.400;12.091.700;786.000
2001M11D08;7.450.400;8.308.700;12.163.900;794.200
2001M11D09;7.449.600;8.362.800;12.119.100;790.300
2001M11D12;7.452.800;8.350.500;12.153.900;792.600
2001M11D13;7.449.900;8.404.700;12.181.000;796.200
2001M11D14;7.445.500;8.466.600;12.175.800;799.400
2001M11D15;7.443.400;8.436.400;12.124.800;800.800
2001M11D16;7.441.700;8.414.400;12.045.500;795.200
2001M11D19;7.443.200;8.456.300;12.042.100;795.500
2001M11D20;7.445.300;8.437.600;11.950.700;795.700
2001M11D21;7.444.700;8.467.600;12.009.500;792.100
2001M11D22;7.443.200;8.477.400;11.982.000;793.400
2001M11D23;7.440.900;8.461.300;11.926.400;794.400
2001M11D26;7.442.600;8.442.200;11.969.400;796.200
2001M11D27;7.440.700;8.446.700;11.924.200;796.200
2001M11D28;7.440.700;8.408.500;11.912.700;790.200
2001M11D29;7.440.600;8.371.500;11.950.900;784.200
2001M11D30;7.441.600;8.398.100;11.950.500;786.100
2001M12D03;7.444.800;8.332.200;11.856.700;776.500
2001M12D04;7.444.600;8.353.500;11.880.900;784.900
2001M12D05;7.445.700;8.346.300;11.863.800;788.700
2001M12D06;7.445.400;8.387.300;11.876.500;795.300
2001M12D07;7.447.600;8.345.600;11.902.800;796.700
2001M12D10;7.445.200;8.372.000;11.987.100;796.200
2001M12D11;7.444.100;8.342.600;11.969.900;795.600
2001M12D12;7.447.400;8.333.200;12.010.000;792.200
2001M12D13;7.448.200;8.297.900;11.990.000;793.200
2001M12D14;7.448.400;8.261.300;11.990.300;790.100
2001M12D17;7.447.100;8.216.100;11.988.200;786.300
2001M12D18;7.440.900;8.241.100;12.015.000;786.300
2001M12D19;7.440.000;8.276.800;12.005.800;785.300
2001M12D20;7.438.600;8.286.300;11.968.800;785.300
2001M12D21;7.439.900;8.295.100;12.023.100;782.800
2001M12D27;7.438.300;8.424.800;12.207.900;786.300
2001M12D28;7.436.900;8.429.000;12.203.600;794.800
2001M12D31;7.435.700;8.409.500;12.185.700;798.900
2002M01D02;7.438.800;8.230.600;11.879.300;801.400
2002M01D03;7.438.000;8.231.500;11.893.200;805.500
2002M01D04;7.440.500;8.309.700;11.968.000;805.700
2002M01D07;7.438.900;8.353.600;12.009.800;807.600
2002M01D08;7.439.100;8.350.100;12.033.500;805.500
2002M01D09;7.438.300;8.338.000;12.021.500;804.500
2002M01D10;7.433.900;8.344.300;12.044.600;809.800
2002M01D11;7.433.500;8.334.500;12.030.300;812.400
2002M01D14;7.432.600;8.326.000;12.071.800;807.700
2002M01D15;7.433.700;8.331.900;12.057.900;805.500
2002M01D16;7.430.600;8.427.600;12.111.800;806.400
2002M01D17;7.430.100;8.425.100;12.093.300;800.600
2002M01D18;7.430.700;8.434.400;12.100.100;803.700
2002M01D21;7.432.100;8.407.400;12.072.900;806.300
2002M01D22;7.430.000;8.414.500;12.014.900;803.900
2002M01D23;7.430.700;8.390.600;11.979.200;800.100
2002M01D24;7.429.900;8.474.800;12.043.900;804.500
2002M01D25;7.429.200;8.575.800;12.127.300;803.500
2002M01D28;7.427.800;8.659.100;12.184.700;805.000
2002M01D29;7.428.200;8.613.400;12.165.400;805.200
2002M01D30;7.428.400;8.595.700;12.157.800;806.600
2002M01D31;7.428.200;8.600.400;12.155.500;810.100
2002M02D01;7.428.200;8.605.400;12.177.400;808.500
2002M02D04;7.428.400;8.593.700;12.183.700;806.100
2002M02D05;7.428.500;8.555.200;12.148.000;802.400
2002M02D06;7.428.300;8.573.800;12.133.800;806.300
2002M02D07;7.427.700;8.573.100;12.079.500;804.800
2002M02D08;7.428.000;8.498.900;12.013.600;802.200
2002M02D11;7.429.300;8.448.100;12.029.300;802.300
2002M02D12;7.429.700;8.488.200;12.108.400;803.200
2002M02D13;7.430.400;8.510.400;12.177.000;805.000
2002M02D14;7.428.800;8.545.700;12.192.400;808.200
2002M02D15;7.428.400;8.533.500;12.187.700;809.300
2002M02D18;7.429.700;8.525.200;12.183.800;808.000
2002M02D19;7.430.100;8.548.200;12.178.500;808.300
2002M02D20;7.431.400;8.499.800;12.154.700;808.300
2002M02D21;7.429.800;8.539.000;12.170.000;813.700
2002M02D22;7.432.500;8.497.200;12.150.600;811.900
2002M02D25;7.433.900;8.521.200;12.158.800;816.000
2002M02D26;7.431.600;8.559.800;12.198.900;819.800
2002M02D27;7.431.300;8.592.100;12.182.500;818.600
2002M02D28;7.431.700;8.590.600;12.160.200;820.000
2002M03D01;7.430.900;8.561.900;12.175.800;817.600
2002M03D04;7.430.000;8.590.600;12.186.300;819.600
2002M03D05;7.429.700;8.557.600;12.161.900;821.800
2002M03D06;7.431.700;8.530.400;12.133.400;822.100
2002M03D07;7.431.300;8.479.300;12.054.000;819.600
2002M03D08;7.432.500;8.448.900;12.061.800;819.700
2002M03D11;7.431.700;8.502.100;12.078.200;818.100
2002M03D12;7.431.700;8.509.900;12.031.200;818.000
2002M03D13;7.431.000;8.508.100;12.001.000;814.800
2002M03D14;7.432.200;8.442.800;11.970.000;813.700
2002M03D15;7.433.300;8.396.400;11.964.100;813.900
2002M03D18;7.432.300;8.453.500;12.038.100;818.800
2002M03D19;7.434.100;8.420.100;12.027.300;819.700
2002M03D20;7.433.200;8.433.400;11.996.800;823.300
2002M03D21;7.434.100;8.431.600;12.029.300;824.700
2002M03D22;7.433.900;8.452.400;12.050.400;824.400
2002M03D25;7.433.700;8.486.900;12.116.900;825.600
2002M03D26;7.433.500;8.508.100;12.110.600;825.800
2002M03D27;7.433.200;8.499.000;12.108.200;823.900
2002M03D28;0.0000;0.0000;0.0000;0.0000
2002M04D02;7.432.800;8.459.800;12.167.000;823.800
2002M04D03;7.433.500;8.444.300;12.144.300;820.200
2002M04D04;7.434.200;8.430.700;12.109.800;819.200
2002M04D05;7.433.500;8.460.600;12.136.300;823.100
2002M04D08;7.434.700;8.469.700;12.152.200;821.000
2002M04D09;7.434.600;8.484.100;12.142.100;818.700
2002M04D10;7.434.800;8.450.600;12.142.400;817.700
2002M04D11;7.436.500;8.456.300;12.137.300;818.400
2002M04D12;7.436.700;8.447.900;12.141.600;817.400
2002M04D15;7.436.000;8.448.100;12.142.400;816.300
2002M04D16;7.433.300;8.444.100;12.134.000;812.800
2002M04D17;7.435.200;8.373.000;12.093.700;813.100
2002M04D18;7.434.400;8.358.000;12.080.600;812.200
2002M04D19;7.434.400;8.366.400;12.100.300;811.000
2002M04D22;7.431.900;8.367.400;12.108.000;807.100
2002M04D23;7.431.400;8.376.200;12.119.000;808.500
2002M04D24;7.432.700;8.358.900;12.085.700;810.500
2002M04D25;7.433.900;8.288.400;12.032.900;805.300
2002M04D26;0.0000;0.0000;0.0000;0.0000
2002M04D29;7.433.500;8.224.700;12.016.700;804.500
2002M04D30;7.434.000;8.252.700;12.013.600;803.300
2002M05D01;7.431.900;8.251.200;12.017.900;803.200
2002M05D02;7.431.800;8.228.300;12.027.500;801.800
2002M05D03;7.433.400;8.183.900;12.004.800;802.400
2002M05D06;7.434.700;8.130.700;11.933.700;801.600
2002M05D07;7.433.800;8.146.600;11.932.300;793.200
2002M05D08;7.434.300;8.180.300;11.938.800;798.400
2002M05D10;7.436.000;8.155.300;11.918.600;799.100
2002M05D13;7.436.600;8.156.000;11.910.000;796.000
2002M05D14;7.435.100;8.204.700;11.915.200;800.400
2002M05D15;7.435.100;8.233.800;11.938.200;807.000
2002M05D16;7.436.400;8.150.400;11.892.500;805.500
2002M05D17;7.437.100;8.126.200;11.844.400;806.700
2002M05D21;7.437.800;8.073.200;11.766.800;810.800
2002M05D22;7.439.100;8.033.600;11.733.600;811.300
2002M05D23;7.438.000;8.073.400;11.763.400;814.900
2002M05D24;7.436.800;8.094.000;11.754.100;816.100
2002M05D27;7.436.000;8.091.400;11.769.500;813.400
2002M05D28;7.436.300;8.034.900;11.721.800;813.700
2002M05D29;7.436.500;7.979.100;11.668.800;812.100
2002M05D30;7.434.000;7.929.600;11.624.700;815.700
2002M05D31;7.432.300;7.917.700;11.603.900;816.100
2002M06D03;7.431.300;7.979.500;11.607.800;818.900
2002M06D04;7.433.300;7.878.400;11.524.500;812.800
2002M06D05;0.0000;0.0000;0.0000;0.0000
2002M06D06;7.434.600;7.920.900;11.548.000;812.300
2002M06D07;7.435.100;7.866.200;11.500.500;806.000
2002M06D10;7.436.100;7.861.400;11.487.900;807.400
2002M06D11;7.436.100;7.896.500;11.564.700;812.600
2002M06D12;7.436.300;7.867.400;11.563.200;811.100
2002M06D13;7.436.400;7.896.800;11.612.100;813.500
2002M06D14;7.437.100;7.846.700;11.584.300;811.300
2002M06D17;7.434.900;7.887.700;11.642.500;819.000
2002M06D18;7.432.200;7.836.600;11.625.500;820.400
2002M06D19;7.432.000;7.773.200;11.598.000;818.700
2002M06D20;7.432.700;7.748.900;11.573.800;820.500
2002M06D21;7.432.500;7.713.300;11.534.000;821.800
2002M06D24;7.430.100;7.596.500;11.429.200;816.700
2002M06D25;7.428.300;7.648.600;11.491.800;823.100
2002M06D26;7.430.400;7.492.600;11.447.200;816.800
2002M06D27;7.428.100;7.561.200;11.498.600;818.600
2002M06D28;7.429.200;7.447.800;11.433.100;816.300
2002M07D01;7.427.800;7.493.000;11.482.100;818.100
2002M07D02;7.428.300;7.550.600;11.549.000;821.300
2002M07D03;7.428.300;7.595.400;11.568.800;813.700
2002M07D04;7.427.900;7.587.200;11.580.800;813.700
2002M07D05;7.427.800;7.637.800;11.584.200;814.000
2002M07D08;7.428.300;7.558.300;11.567.000;811.100
2002M07D09;7.427.800;7.480.200;11.560.800;808.700
2002M07D10;7.428.000;7.504.500;11.613.500;803.900
2002M07D11;7.427.900;7.551.700;11.644.300;800.800
2002M07D12;7.428.200;7.523.800;11.639.300;805.000
2002M07D15;7.428.900;7.411.100;11.584.100;804.000
2002M07D16;7.428.800;7.335.600;11.539.000;798.500
2002M07D17;7.429.800;7.382.600;11.551.300;796.900
2002M07D18;7.432.200;7.389.300;11.562.200;801.100
2002M07D19;7.431.500;7.324.600;11.557.500;793.400
2002M07D22;7.432.200;7.368.800;11.592.900;784.000
2002M07D23;7.433.100;7.500.600;11.744.500;785.400
2002M07D24;7.434.400;7.498.100;11.742.900;778.900
2002M07D25;7.433.700;7.423.300;11.688.200;789.300
2002M07D26;7.433.900;7.428.000;11.730.900;787.300
2002M07D29;7.432.800;7.568.300;11.826.300;802.500
2002M07D30;7.431.500;7.556.200;11.807.300;805.700
2002M07D31;7.429.100;7.593.900;11.865.700;803.600
2002M08D01;7.429.100;7.611.800;11.841.100;797.100
2002M08D02;7.429.500;7.525.100;11.802.200;784.200
2002M08D05;7.429.700;7.553.600;11.798.800;786.500
2002M08D06;7.427.500;7.665.900;11.829.100;793.800
2002M08D07;7.427.600;7.658.900;11.769.300;797.600
2002M08D08;7.427.600;7.667.600;11.724.700;799.100
2002M08D09;7.427.700;7.634.600;11.688.000;797.600
2002M08D12;7.427.800;7.594.900;11.631.400;800.200
2002M08D13;7.427.700;7.580.100;11.622.100;802.200
2002M08D14;7.427.800;7.535.600;11.616.800;800.000
2002M08D15;7.427.600;7.597.000;11.640.200;806.000
2002M08D16;7.426.400;7.558.700;11.598.300;804.100
2002M08D19;7.426.600;7.578.900;11.640.400;805.300
2002M08D20;7.426.800;7.584.600;11.575.400;807.400
2002M08D21;7.426.800;7.607.900;11.593.500;810.200
2002M08D22;7.426.400;7.601.200;11.612.800;811.500
2002M08D23;7.425.300;7.657.300;11.631.100;807.100
2002M08D26;7.425.200;7.654.100;11.634.600;813.100
2002M08D27;7.425.300;7.597.000;11.602.000;812.900
2002M08D28;7.425.300;7.556.800;11.612.900;812.200
2002M08D29;7.424.600;7.543.000;11.631.800;810.700
2002M08D30;7.425.200;7.551.300;11.689.500;809.500
2002M09D02;7.425.600;7.560.900;11.706.800;804.500
2002M09D03;7.426.100;7.493.500;11.670.800;799.900
2002M09D04;7.426.300;7.465.900;11.687.600;794.800
2002M09D05;7.426.900;7.445.500;11.688.500;799.000
2002M09D06;7.425.700;7.487.100;11.739.300;804.900
2002M09D09;7.425.900;7.582.100;11.811.500;806.800
2002M09D10;7.426.300;7.608.900;11.823.400;806.500
2002M09D11;7.425.800;7.617.000;11.854.700;810.000
2002M09D12;7.425.700;7.610.600;11.835.700;809.200
2002M09D13;7.426.300;7.570.100;11.814.000;803.100
2002M09D16;7.426.600;7.669.700;11.825.800;815.800
2002M09D17;7.427.300;7.697.500;11.795.000;816.400
2002M09D18;7.428.900;7.639.000;11.762.000;813.800
2002M09D19;7.429.000;7.569.800;11.765.900;816.800
2002M09D20;7.430.200;7.589.600;11.732.500;817.100
2002M09D23;7.429.700;7.557.400;11.757.700;820.200
2002M09D24;7.427.000;7.557.000;11.768.300;817.100
2002M09D25;7.427.200;7.601.300;11.843.700;815.900
2002M09D26;7.427.600;7.582.300;11.838.700;814.600
2002M09D27;7.427.500;7.595.400;11.823.500;815.700
2002M09D30;7.427.400;7.532.900;11.798.900;811.600
2002M10D01;7.427.400;7.532.100;11.832.700;815.500
2002M10D02;7.427.500;7.552.100;11.829.100;818.900
2002M10D03;7.429.100;7.511.700;11.799.700;816.700
2002M10D04;7.428.500;7.530.200;11.810.000;817.200
2002M10D07;7.427.300;7.572.700;11.855.200;816.900
2002M10D08;7.427.500;7.579.100;11.853.700;811.200
2002M10D09;7.427.500;7.568.300;11.756.100;811.200
2002M10D10;7.428.500;7.522.500;11.759.500;809.900
2002M10D11;7.429.300;7.537.100;11.753.400;815.400
2002M10D14;7.429.000;7.524.600;11.751.000;816.800
2002M10D15;7.429.200;7.573.100;11.773.700;819.100
2002M10D16;7.428.800;7.562.700;11.758.200;819.200
2002M10D17;7.431.100;7.611.500;11.858.500;817.100
2002M10D18;7.429.800;7.632.000;11.825.200;816.800
2002M10D21;7.429.100;7.621.200;11.792.200;819.300
2002M10D22;7.431.500;7.608.000;11.768.000;815.800
2002M10D23;7.431.900;7.603.000;11.772.400;813.100
2002M10D24;7.430.800;7.630.700;11.804.300;813.400
2002M10D25;7.431.500;7.611.900;11.822.300;814.100
2002M10D28;7.431.600;7.626.100;11.798.100;818.300
2002M10D29;7.432.100;7.568.300;11.783.900;816.200
2002M10D30;7.432.300;7.564.700;11.765.600;818.200
2002M10D31;7.431.900;7.534.400;11.748.200;817.600
2002M11D01;7.432.100;7.451.500;11.671.000;817.700
2002M11D04;7.432.300;7.474.200;11.631.100;812.900
2002M11D05;7.432.600;7.414.800;11.589.900;813.000
2002M11D06;7.431.700;7.465.300;11.622.900;814.200
2002M11D07;7.429.700;7.420.100;11.638.000;812.900
2002M11D08;7.429.200;7.350.500;11.653.600;814.500
2002M11D11;7.428.400;7.336.000;11.661.500;816.600
2002M11D12;7.427.700;7.368.000;11.682.400;817.700
2002M11D13;7.426.200;7.376.000;11.707.700;818.500
2002M11D14;7.426.500;7.356.600;11.686.100;816.300
2002M11D15;7.426.300;7.404.800;11.672.900;817.600
2002M11D18;7.426.300;7.378.300;11.650.900;818.600
2002M11D19;7.427.400;7.335.700;11.654.500;818.700
2002M11D20;7.426.300;7.412.200;11.669.200;818.100
2002M11D21;7.426.100;7.400.900;11.683.600;819.400
